id,title,genres,averageRating,numVotes,releaseYear
tt4679210,Premam,"Comedy, Drama, Romance",8.3,25560,2015
tt3668162,"Bangalore Days","Comedy, Drama, Romance",8.3,24270,2014
tt0376127,Anniyan,"Action, Crime, Drama",8.3,23213,2005
tt0058888,"Red Beard",Drama,8.3,22307,1965
tt9098872,"The Rescue","Action, Documentary, Mystery",8.3,22204,2021
tt0037674,"Children of Paradise","Drama, Romance",8.3,21879,1945
tt0110081,"To Live","Drama, War",8.3,21432,1994
tt0050634,"The Cranes Are Flying","Drama, Romance, War",8.3,21209,1957
tt4908644,"Winter on Fire: Ukraine's Fight for Freedom","Documentary, History",8.3,21140,2015
tt0047445,"Sansho the Bailiff",Drama,8.3,19072,1954
tt13391710,"Jana Gana Mana","Drama, Thriller",8.3,19063,2022
tt10214826,"Agent Sai Srinivasa Athreya","Comedy, Crime, Mystery",8.3,18067,2019
tt5312232,Sairat,"Drama, Romance",8.3,15351,2016
tt0085743,"Jaane Bhi Do Yaaro","Comedy, Crime, Drama",8.3,15127,1983
tt0061847,"Samurai Rebellion",Drama,8.3,14891,1967
tt5867800,Aruvi,Drama,8.3,14770,2016
tt3521134,"The Look of Silence","Biography, Documentary, History",8.3,14414,2014
tt9006564,2018,"Action, Drama, Thriller",8.3,14343,2023
tt0060584,"Kidnapping, Caucasian Style","Adventure, Comedy, Drama",8.3,14337,1967
tt0252591,"King of the Doormen",Comedy,8.3,14279,1976
tt2358592,Lucia,"Drama, Sci-Fi, Thriller",8.3,13613,2013
tt0068519,"Gentlemen of Fortune","Comedy, Crime, Drama",8.3,13609,1971
tt0072783,"Chupke Chupke","Comedy, Drama, Romance",8.3,13577,1975
tt2877108,"Soodhu Kavvum","Comedy, Crime, Thriller",8.3,12362,2013
tt30953759,"No Other Land",Documentary,8.3,12351,2024
tt0252619,"From the Village to the City",Comedy,8.3,12349,1974
tt8652818,"Violet Evergarden: The Movie","Animation, Drama, Fantasy",8.3,12261,2020
tt0139876,Baasha,"Action, Crime, Drama",8.3,12115,1995
tt18568902,"Kaun Pravin Tambe?","Biography, Drama, Sport",8.3,11477,2022
tt4851630,"Maheshinte Prathikaaram","Comedy, Drama",8.3,11214,2016
tt0179955,"Cat City","Adventure, Animation, Comedy",8.3,11187,1986
tt0301634,"Frozen Stiff","Comedy, Drama",8.3,10564,2002
tt0993846,"The Wolf of Wall Street","Biography, Comedy, Crime",8.2,1685863,2013
tt0372784,"Batman Begins","Action, Crime, Drama",8.2,1645694,2005
tt1130884,"Shutter Island","Drama, Mystery, Thriller",8.2,1548605,2010
tt0120382,"The Truman Show","Comedy, Drama",8.2,1279727,1998
tt0266697,"Kill Bill: Vol. 1","Action, Crime, Thriller",8.2,1250258,2003
tt0266543,"Finding Nemo","Adventure, Animation, Comedy",8.2,1159720,2003
tt0477348,"No Country for Old Men","Crime, Drama, Thriller",8.2,1121406,2007
tt0107290,"Jurassic Park","Action, Adventure, Sci-Fi",8.2,1118875,1993
tt0167404,"The Sixth Sense","Drama, Mystery, Thriller",8.2,1098976,1999
tt0268978,"A Beautiful Mind","Biography, Drama, Mystery",8.2,1021638,2001
tt0095016,"Die Hard","Action, Thriller",8.2,989846,1988
tt0075314,"Taxi Driver","Crime, Drama",8.2,978282,1976
tt10872600,"Spider-Man: No Way Home","Action, Adventure, Fantasy",8.2,950797,2021
tt0208092,Snatch,"Comedy, Crime",8.2,945798,2000
tt0066921,"A Clockwork Orange","Crime, Sci-Fi",8.2,911268,1971
tt1392214,Prisoners,"Crime, Drama, Mystery",8.2,871002,2013
tt0097576,"Indiana Jones and the Last Crusade","Action, Adventure",8.2,838268,1989
tt0093058,"Full Metal Jacket","Drama, War",8.2,821575,1987
tt1745960,"Top Gun: Maverick","Action, Drama",8.2,774846,2022
tt8579674,1917,"Action, Drama, War",8.2,727470,2019
tt0457430,"Pan's Labyrinth","Drama, Fantasy, War",8.2,724657,2006
tt0469494,"There Will Be Blood",Drama,8.2,670709,2007
tt0119488,"L.A. Confidential","Crime, Drama, Mystery",8.2,640877,1997
tt6966692,"Green Book","Biography, Comedy, Drama",8.2,635008,2018
tt0112641,Casino,"Crime, Drama",8.2,592113,1995
tt0071853,"Monty Python and the Holy Grail","Adventure, Comedy, Fantasy",8.2,587678,1975
tt0084787,"The Thing","Horror, Mystery, Sci-Fi",8.2,498288,1982
tt0347149,"Howl's Moving Castle","Adventure, Animation, Family",8.2,482867,2004
tt0105695,Unforgiven,"Drama, Western",8.2,454256,1992
tt0052357,Vertigo,"Mystery, Romance, Thriller",8.2,444788,1958
tt0363163,Downfall,"Biography, Drama, History",8.2,388420,2004
tt0031381,"Gone with the Wind","Drama, Romance, War",8.2,346331,1939
tt0053291,"Some Like It Hot","Comedy, Music, Romance",8.2,294966,1959
tt0070735,"The Sting","Comedy, Crime, Drama",8.2,290235,1973
tt0059578,"For a Few Dollars More","Drama, Western",8.2,288367,1965
tt0080678,"The Elephant Man","Biography, Drama",8.2,272707,1980
tt0057115,"The Great Escape","Adventure, Drama, Thriller",8.2,268547,1963
tt1305806,"The Secret in Their Eyes","Drama, Mystery, Romance",8.2,232633,2009
tt4729430,Klaus,"Adventure, Animation, Comedy",8.2,214202,2019
tt10272386,"The Father","Drama, Mystery",8.2,212905,2020
tt0046912,"Dial M for Murder","Crime, Drama, Mystery",8.2,197780,1954
tt0042876,Rashomon,"Crime, Drama, Mystery",8.2,189318,1950
tt0040522,"Bicycle Thieves",Drama,8.2,185282,1948
tt29623480,"The Wild Robot","Animation, Sci-Fi",8.2,167189,2024
tt10698680,"K.G.F: Chapter 2","Action, Crime, Drama",8.2,158648,2022
tt0042192,"All About Eve",Drama,8.2,144677,1950
tt0089881,Ran,"Action, Drama, War",8.2,143773,1985
tt0012349,"The Kid","Comedy, Drama, Family",8.2,141127,1921
tt0055630,Yojimbo,"Action, Drama, Thriller",8.2,137581,1961
tt0040897,"The Treasure of the Sierra Madre","Adventure, Drama, Western",8.2,137328,1948
tt4849438,"Baahubali 2: The Conclusion","Action, Drama",8.2,123351,2017
tt5813916,"The Mountain II","Action, Drama, War",8.2,111593,2016
tt8108198,Andhadhun,"Crime, Mystery, Thriller",8.2,108368,2018
tt15327088,Kantara,"Action, Adventure, Drama",8.2,107729,2022
